@relation InstanceResultListener

@attribute Key_Dataset {R_data_frame}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.AttributeSelectedClassifier}
@attribute Key_Scheme_options {'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-1151805453487947577}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {''}
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureOutOfBagError numeric

@data

R_data_frame,1,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,55,2,0,96.491228,3.508772,0,0.924603,0.048623,0.175126,10.417978,36.302873,54.123379,9.337769,44.78561,0.949533,0.163821,0.785712,48.757698,0.855398,90.086204,0.952381,20,0.027778,1,0.972222,35,0.047619,1,0.952381,0.952381,0.952381,0.924603,0.989418,0.986864,0.964912,0.040309,0.959691,0.035088,0.964912,0.964912,0.964912,0.924603,0.989418,0.990951,0.962302,0.964912,0.167,0,0.161026,0.000265,161.026,0.265,25777,144559,18524,98.245614,57.017544,?,10,40,166,90,14,?
R_data_frame,1,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,55,2,0,96.491228,3.508772,0,0.923077,0.059022,0.176432,12.646142,36.573586,54.123379,8.106981,46.016398,0.949533,0.142228,0.807305,47.500973,0.83335,87.76424,0.904762,19,0,0,1,36,0.095238,2,1,0.904762,0.95,0.92582,0.992063,0.988052,0.964912,0.06015,0.93985,0.035088,0.966759,0.964912,0.964509,0.92582,0.992063,0.992709,0.961486,0.964912,0.071,0,0.06512,0.000163,65.12,0.163,26410,144559,18524,100,57.017544,?,13,16,71,76.923077,21,?
R_data_frame,1,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,55,2,0,96.491228,3.508772,0,0.924603,0.070763,0.171977,15.161821,35.650047,54.123379,8.553114,45.570265,0.949533,0.150055,0.799478,46.673995,0.818842,86.236292,0.952381,20,0.027778,1,0.972222,35,0.047619,1,0.952381,0.952381,0.952381,0.924603,0.989418,0.986864,0.964912,0.040309,0.959691,0.035088,0.964912,0.964912,0.964912,0.924603,0.989418,0.990951,0.962302,0.964912,0.082,0,0.079529,0.000128,79.529,0.128,26174,144559,18524,100,61.403509,?,12,16,82,75,11,?
R_data_frame,1,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,57,0,0,100,0,0,1,0.030613,0.083862,6.559234,17.384129,54.123379,2.890528,51.232851,0.949533,0.050711,0.898822,51.164979,0.897631,94.53397,1,21,0,0,1,36,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.063,0,0.061821,0.000107,61.821,0.107,26159,144559,18524,100,57.017544,?,12,15,63,75,18,?
R_data_frame,1,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,54,3,0,94.736842,5.263158,0,0.883436,0.051251,0.186265,10.981161,38.611859,54.123379,15.908076,38.215304,0.949533,0.279089,0.670444,48.086391,0.843621,88.845878,0.857143,18,0,0,1,36,0.142857,3,1,0.857143,0.923077,0.889499,0.986772,0.983447,0.947368,0.090226,0.909774,0.052632,0.951417,0.947368,0.946397,0.889499,0.986772,0.988638,0.941538,0.947368,0.058,0,0.055018,0.00011,55.018,0.11,25919,144559,18524,98.245614,53.508772,?,11,9,58,81.818182,48,?
R_data_frame,1,6,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,56,1,0,98.245614,1.754386,0,0.961924,0.032373,0.115843,6.936337,24.013679,54.123379,3.820835,50.302544,0.949533,0.067032,0.882501,50.708352,0.88962,93.690291,0.952381,20,0,0,1,36,0.047619,1,1,0.952381,0.97561,0.962622,1,1,0.982456,0.030075,0.969925,0.017544,0.98293,0.982456,0.982362,0.962622,1,1,0.980956,0.982456,0.048,0,0.046829,0.000071,46.829,0.071,25847,144559,18524,100,55.263158,?,11,4,47,72.727273,16,?
R_data_frame,1,7,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,55,2,0,96.491228,3.508772,0,0.924603,0.051363,0.134151,11.005146,27.808842,54.123379,5.352486,48.770893,0.949533,0.093903,0.85563,48.678868,0.854015,89.940556,0.952381,20,0.027778,1,0.972222,35,0.047619,1,0.952381,0.952381,0.952381,0.924603,0.998677,0.997835,0.964912,0.040309,0.959691,0.035088,0.964912,0.964912,0.964912,0.924603,0.998677,0.998728,0.962302,0.964912,0.049,0.001,0.048652,0.000124,48.652,0.124,25981,144559,18524,100,57.017544,?,11,4,48,72.727273,9,?
R_data_frame,1,8,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,56,1,0,98.245614,1.754386,0,0.962672,0.02816,0.134794,5.982498,27.67651,54.878503,5.417301,49.461201,0.962781,0.09504,0.86774,51.793516,0.908658,94.378515,0.954545,21,0,0,1,35,0.045455,1,1,0.954545,0.976744,0.963343,0.997403,0.996212,0.982456,0.027911,0.972089,0.017544,0.982943,0.982456,0.982376,0.963343,0.997403,0.997549,0.98133,0.982456,0.054,0.001,0.052007,0.000098,52.007,0.098,25885,144559,18524,98.245614,52.631579,?,11,4,53,90.909091,42,?
R_data_frame,1,9,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-1151805453487947577,20221031.1455,512,57,54,3,0,94.736842,5.263158,0,0.888016,0.118037,0.186037,25.076143,38.197882,54.878503,11.665353,43.21315,0.962781,0.204655,0.758125,43.117527,0.756448,78.569065,0.909091,20,0.028571,1,0.971429,34,0.090909,2,0.952381,0.909091,0.930233,0.888635,0.997403,0.995958,0.947368,0.066849,0.933151,0.052632,0.947508,0.947368,0.947127,0.888635,0.997403,0.997491,0.94399,0.947368,0.056,0,0.054073,0.000054,54.073,0.054,25439,144559,18524,100,74.561404,?,10,4,55,30,4,?
