@relation InstanceResultListener

@attribute Key_Dataset {R_data_frame}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.CostSensitiveClassifier,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-cost-matrix \"[0.0 10.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-cost-matrix \"[0.0 20.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-110658209263002404,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {''}
@attribute measureOutOfBagError numeric

@data

R_data_frame,1,1,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.107018,0.189181,22.929648,39.216349,54.123379,10.960003,43.163377,0.949533,0.192281,0.757252,43.078819,0.755769,79.593736,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,0.99537,0.991211,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,0.99537,0.994925,0.962987,0.964912,0.103,0.002,0.097445,0.002294,97.445,2.294,210216,144559,18524,100,69.298246,?,?
R_data_frame,1,2,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,55,2,0,96.491228,3.508772,0,0.924603,0.085439,0.178025,18.306128,36.903797,54.123379,9.492985,44.630394,0.949533,0.166544,0.782989,45.293422,0.794621,83.685503,0.952381,20,0.027778,1,0.972222,35,0.047619,1,0.952381,0.952381,0.952381,0.924603,0.990741,0.988095,0.964912,0.040309,0.959691,0.035088,0.964912,0.964912,0.964912,0.924603,0.990741,0.992004,0.962302,0.964912,0.047,0.001,0.045222,0.001098,45.222,1.098,210505,144559,18524,100,65.789474,?,?
R_data_frame,1,3,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.119298,0.215105,25.560919,44.590267,54.123379,12.800532,41.322847,0.949533,0.224571,0.724962,41.13629,0.721689,76.00466,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,0.994709,0.99153,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,0.994709,0.995008,0.962987,0.964912,0.047,0.001,0.043797,0.000965,43.797,0.965,211245,144559,18524,100,70.175439,?,?
R_data_frame,1,4,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,54,3,0,94.736842,5.263158,0,0.890173,0.1,0.197386,21.426064,40.917284,54.123379,10.957569,43.16581,0.949533,0.192238,0.757295,43.193839,0.757787,79.806249,1,21,0.083333,3,0.916667,33,0,0,0.875,1,0.933333,0.895591,1,1,0.947368,0.030702,0.969298,0.052632,0.953947,0.947368,0.947979,0.895591,1,1,0.944928,0.947368,0.046,0.001,0.042949,0.000912,42.949,0.912,221512,144559,18524,100,66.666667,?,?
R_data_frame,1,5,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,53,4,0,92.982456,7.017544,0,0.846154,0.081579,0.209699,17.479158,43.469628,54.123379,13.907824,40.215555,0.949533,0.243997,0.705536,44.957297,0.788725,83.064469,0.857143,18,0.027778,1,0.972222,35,0.142857,3,0.947368,0.857143,0.9,0.848668,0.968915,0.965444,0.929825,0.100459,0.899541,0.070175,0.930748,0.929825,0.929018,0.848668,0.968915,0.971117,0.922973,0.929825,0.043,0.001,0.040683,0.00089,40.683,0.89,199385,144559,18524,98.245614,60.526316,?,?
R_data_frame,1,6,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,54,3,0,94.736842,5.263158,0,0.890173,0.074386,0.160383,15.937984,33.24671,54.123379,7.761567,46.361812,0.949533,0.136168,0.813365,46.096784,0.808716,85.169819,1,21,0.083333,3,0.916667,33,0,0,0.875,1,0.933333,0.895591,1,1,0.947368,0.030702,0.969298,0.052632,0.953947,0.947368,0.947979,0.895591,1,1,0.944928,0.947368,0.043,0.001,0.039157,0.000899,39.157,0.899,217445,144559,18524,100,63.157895,?,?
R_data_frame,1,7,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,54,3,0,94.736842,5.263158,0,0.890173,0.105088,0.212574,22.516162,44.065602,54.123379,12.795706,41.327673,0.949533,0.224486,0.725047,42.954603,0.75359,79.364229,1,21,0.083333,3,0.916667,33,0,0,0.875,1,0.933333,0.895591,0.994048,0.989149,0.947368,0.030702,0.969298,0.052632,0.953947,0.947368,0.947979,0.895591,0.994048,0.993705,0.944928,0.947368,0.039,0.001,0.038448,0.000723,38.448,0.723,221123,144559,18524,100,68.421053,?,?
R_data_frame,1,8,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,54,3,0,94.736842,5.263158,0,0.889891,0.071228,0.203082,15.131898,41.697575,54.878503,12.254677,42.623825,0.962781,0.214994,0.747786,46.972969,0.824087,85.59448,0.954545,21,0.057143,2,0.942857,33,0.045455,1,0.913043,0.954545,0.933333,0.890491,0.984416,0.981891,0.947368,0.049966,0.950034,0.052632,0.948378,0.947368,0.947572,0.890491,0.984416,0.98565,0.944928,0.947368,0.037,0,0.036338,0.00058,36.338,0.58,203967,144559,18524,98.245614,57.894737,?,?
R_data_frame,1,9,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,53,4,0,92.982456,7.017544,0,0.856784,0.113158,0.207791,24.039591,42.664591,54.878503,12.137074,42.741429,0.962781,0.212931,0.74985,42.415968,0.74414,77.290679,1,22,0.114286,4,0.885714,31,0,0,0.846154,1,0.916667,0.865708,1,1,0.929825,0.04411,0.95589,0.070175,0.940621,0.929825,0.930622,0.865708,1,1,0.92803,0.929825,0.038,0,0.037469,0.000583,37.469,0.583,211810,144559,18524,100,69.298246,?,?
R_data_frame,1,10,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,513,56,56,0,0,100,0,0,1,0.066071,0.106687,14.111679,22.036974,53.449128,5.889924,47.559204,0.954449,0.105177,0.849271,47.559204,0.849271,88.980317,1,21,0,0,1,35,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.039,0,0.037804,0.000541,37.804,0.541,221323,144836,18247,100,68.75,?,?
R_data_frame,2,1,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,56,1,0,98.245614,1.754386,0,0.961924,0.054035,0.115348,11.577593,23.911192,54.123379,5.235626,48.887753,0.949533,0.091853,0.85768,48.813309,0.856374,90.188953,0.952381,20,0,0,1,36,0.047619,1,1,0.952381,0.97561,0.962622,0.998677,0.997835,0.982456,0.030075,0.969925,0.017544,0.98293,0.982456,0.982362,0.962622,0.998677,0.998728,0.980956,0.982456,0.039,0.001,0.039025,0.000618,39.025,0.618,221423,144559,18524,100,64.035088,?,?
R_data_frame,2,2,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.091754,0.164279,19.659354,34.05435,54.123379,9.063473,45.059907,0.949533,0.159008,0.790525,44.811782,0.786172,82.795609,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,1,1,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,1,1,0.962987,0.964912,0.037,0,0.036863,0.000514,36.863,0.514,219165,144559,18524,100,68.421053,?,?
R_data_frame,2,3,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,54,3,0,94.736842,5.263158,0,0.888016,0.104211,0.19552,22.328214,40.530381,54.123379,11.446011,42.677368,0.949533,0.200807,0.748726,43.163068,0.757247,79.749395,0.952381,20,0.055556,2,0.944444,34,0.047619,1,0.909091,0.952381,0.930233,0.888635,0.992725,0.986893,0.947368,0.050543,0.949457,0.052632,0.948462,0.947368,0.94761,0.888635,0.992725,0.992428,0.94399,0.947368,0.038,0,0.036465,0.000441,36.465,0.441,212086,144559,18524,100,71.052632,?,?
R_data_frame,2,4,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,53,4,0,92.982456,7.017544,0,0.85214,0.10614,0.210925,22.7417,43.723823,54.123379,11.918203,42.205176,0.949533,0.209091,0.740442,42.516569,0.745905,78.554905,0.952381,20,0.083333,3,0.916667,33,0.047619,1,0.869565,0.952381,0.909091,0.854478,0.992063,0.988052,0.929825,0.060777,0.939223,0.070175,0.933369,0.929825,0.930417,0.854478,0.992063,0.992709,0.925974,0.929825,0.035,0.001,0.035406,0.000519,35.406,0.519,205623,144559,18524,100,64.912281,?,?
R_data_frame,2,5,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,52,5,0,91.22807,8.77193,0,0.816956,0.123158,0.24723,26.387889,51.249678,54.123379,18.212201,35.911178,0.949533,0.319512,0.630021,40.07215,0.70302,74.038522,0.952381,20,0.111111,4,0.888889,32,0.047619,1,0.833333,0.952381,0.888889,0.821928,0.964947,0.967003,0.912281,0.071011,0.928989,0.087719,0.919458,0.912281,0.913298,0.821928,0.964947,0.9656,0.908213,0.912281,0.035,0.001,0.035216,0.000457,35.216,0.457,198570,144559,18524,98.245614,65.789474,?,?
R_data_frame,2,6,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,53,4,0,92.982456,7.017544,0,0.854962,0.117018,0.230952,25.072254,47.875166,54.123379,13.969783,40.153597,0.949533,0.245084,0.704449,41.278098,0.724177,76.266668,1,21,0.111111,4,0.888889,32,0,0,0.84,1,0.913043,0.864099,0.984127,0.973117,0.929825,0.040936,0.959064,0.070175,0.941053,0.929825,0.930812,0.864099,0.984127,0.984146,0.92711,0.929825,0.036,0,0.035797,0.000577,35.797,0.577,204003,144559,18524,100,68.421053,?,?
R_data_frame,2,7,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,54,3,0,94.736842,5.263158,0,0.888016,0.100526,0.216961,21.538833,44.97493,54.123379,12.566604,41.556775,0.949533,0.220467,0.729066,43.06435,0.755515,79.567001,0.952381,20,0.055556,2,0.944444,34,0.047619,1,0.909091,0.952381,0.930233,0.888635,0.98545,0.978295,0.947368,0.050543,0.949457,0.052632,0.948462,0.947368,0.94761,0.888635,0.98545,0.986729,0.94399,0.947368,0.039,0.001,0.037889,0.000458,37.889,0.458,214521,144559,18524,100,64.912281,?,?
R_data_frame,2,8,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,55,2,0,96.491228,3.508772,0,0.927203,0.071053,0.16187,15.094627,33.235757,54.878503,7.617806,47.260697,0.962781,0.133646,0.829135,47.336012,0.830456,86.256019,1,22,0.057143,2,0.942857,33,0,0,0.916667,1,0.956522,0.92967,1,1,0.964912,0.022055,0.977945,0.035088,0.967836,0.964912,0.965159,0.92967,1,1,0.963555,0.964912,0.038,0,0.037405,0.000481,37.405,0.481,220068,144559,18524,100,61.403509,?,?
R_data_frame,2,9,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,56,1,0,98.245614,1.754386,0,0.962672,0.075614,0.170309,16.063665,34.968644,54.878503,10.525768,44.352734,0.962781,0.184663,0.778118,47.273211,0.829355,86.141583,0.954545,21,0,0,1,35,0.045455,1,1,0.954545,0.976744,0.963343,0.980519,0.980186,0.982456,0.027911,0.972089,0.017544,0.982943,0.982456,0.982376,0.963343,0.980519,0.981639,0.98133,0.982456,0.035,0,0.034553,0.00045,34.553,0.45,208722,144559,18524,98.245614,64.035088,?,?
R_data_frame,2,10,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,513,56,54,2,0,96.428571,3.571429,0,0.925234,0.065714,0.159284,14.0354,32.90125,53.449128,7.310276,46.138852,0.954449,0.130541,0.823908,46.561638,0.831458,87.113934,1,21,0.057143,2,0.942857,33,0,0,0.913043,1,0.954545,0.927831,0.998639,0.997835,0.964286,0.021429,0.978571,0.035714,0.967391,0.964286,0.964572,0.927831,0.998639,0.998692,0.962567,0.964286,0.04,0,0.039275,0.000547,39.275,0.547,231790,144836,18247,100,60.714286,?,?
R_data_frame,3,1,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.082281,0.155117,17.629516,32.155108,54.123379,8.205104,45.918275,0.949533,0.143949,0.805584,45.755169,0.802722,84.53864,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,1,1,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,1,1,0.962987,0.964912,0.038,0.001,0.036781,0.000564,36.781,0.564,217696,144559,18524,100,66.666667,?,?
