@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,212,0,357,0,1,1,0.372583,1,0.627417,0.542894,1,1,0
1,211,1,203,154,0.568627,0.995283,0.509662,0.995283,0.490338,0.674121,0.727592,1.367913,0.01
2,211,1,146,211,0.408964,0.995283,0.591036,0.995283,0.408964,0.741652,0.627417,1.586319,0.02
3,210,2,118,239,0.330532,0.990566,0.640244,0.990566,0.359756,0.777778,0.57645,1.71839,0.03
4,210,2,105,252,0.294118,0.990566,0.666667,0.990566,0.333333,0.796964,0.553603,1.789308,0.04
5,209,3,94,263,0.263305,0.985849,0.689769,0.985849,0.310231,0.81165,0.532513,1.851314,0.05
6,209,3,81,276,0.226891,0.985849,0.72069,0.985849,0.27931,0.832669,0.509666,1.934304,0.06
7,209,3,74,283,0.207283,0.985849,0.738516,0.985849,0.261484,0.844444,0.497364,1.982149,0.07
8,209,3,70,287,0.196078,0.985849,0.749104,0.985849,0.250896,0.851324,0.490334,2.010567,0.08
9,209,3,66,291,0.184874,0.985849,0.76,0.985849,0.24,0.858316,0.483304,2.039811,0.09
10,209,3,64,293,0.179272,0.985849,0.765568,0.985849,0.234432,0.861856,0.479789,2.054755,0.1
11,209,3,61,296,0.170868,0.985849,0.774074,0.985849,0.225926,0.86722,0.474517,2.077586,0.11
12,209,3,59,298,0.165266,0.985849,0.779851,0.985849,0.220149,0.870833,0.471002,2.09309,0.12
13,209,3,56,301,0.156863,0.985849,0.788679,0.985849,0.211321,0.87631,0.465729,2.116785,0.13
14,209,3,51,306,0.142857,0.985849,0.803846,0.985849,0.196154,0.885593,0.456942,2.157493,0.14
15,209,3,49,308,0.137255,0.985849,0.810078,0.985849,0.189922,0.889362,0.453427,2.174217,0.15
16,209,3,45,312,0.12605,0.985849,0.822835,0.985849,0.177165,0.896996,0.446397,2.208457,0.16
17,209,3,43,314,0.120448,0.985849,0.829365,0.985849,0.170635,0.900862,0.442882,2.225985,0.17
18,209,3,42,315,0.117647,0.985849,0.832669,0.985849,0.167331,0.902808,0.441125,2.234853,0.19
19,209,3,41,316,0.114846,0.985849,0.836,0.985849,0.164,0.904762,0.439367,2.243792,0.2
20,209,3,39,318,0.109244,0.985849,0.842742,0.985849,0.157258,0.908696,0.435852,2.261888,0.21
21,209,3,37,320,0.103641,0.985849,0.849593,0.985849,0.150407,0.912664,0.432337,2.280277,0.22
22,209,3,36,321,0.10084,0.985849,0.853061,0.985849,0.146939,0.914661,0.43058,2.289584,0.24
23,209,3,35,322,0.098039,0.985849,0.856557,0.985849,0.143443,0.916667,0.428822,2.298968,0.25
24,209,3,34,323,0.095238,0.985849,0.860082,0.985849,0.139918,0.918681,0.427065,2.308428,0.26
25,209,3,30,327,0.084034,0.985849,0.874477,0.985849,0.125523,0.926829,0.420035,2.347063,0.27
26,208,4,30,327,0.084034,0.981132,0.87395,0.981132,0.12605,0.924444,0.418278,2.345648,0.28
27,208,4,29,328,0.081232,0.981132,0.877637,0.981132,0.122363,0.926503,0.41652,2.355545,0.29
28,207,5,24,333,0.067227,0.976415,0.896104,0.976415,0.103896,0.934537,0.405975,2.405109,0.3
29,207,5,22,335,0.061625,0.976415,0.90393,0.976415,0.09607,0.938776,0.40246,2.426114,0.31
30,207,5,20,337,0.056022,0.976415,0.911894,0.976415,0.088106,0.943052,0.398946,2.44749,0.32
31,206,6,20,337,0.056022,0.971698,0.911504,0.971698,0.088496,0.940639,0.397188,2.446443,0.33
32,206,6,18,339,0.05042,0.971698,0.919643,0.971698,0.080357,0.944954,0.393673,2.468287,0.34
33,206,6,16,341,0.044818,0.971698,0.927928,0.971698,0.072072,0.949309,0.390158,2.490524,0.36
34,206,6,14,343,0.039216,0.971698,0.936364,0.971698,0.063636,0.953704,0.386643,2.513165,0.37
