@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,212,0,357,0,1,1,0.372583,1,0.627417,0.542894,1,1,0
1,212,0,356,1,0.997199,1,0.373239,1,0.626761,0.54359,0.998243,1.001761,0
2,212,0,355,2,0.994398,1,0.373898,1,0.626102,0.544288,0.996485,1.003527,0
3,212,0,354,3,0.991597,1,0.374558,1,0.625442,0.544987,0.994728,1.0053,0
4,212,0,353,4,0.988796,1,0.375221,1,0.624779,0.545689,0.99297,1.00708,0
5,212,0,352,5,0.985994,1,0.375887,1,0.624113,0.546392,0.991213,1.008865,0
6,212,0,351,6,0.983193,1,0.376554,1,0.623446,0.547097,0.989455,1.010657,0
7,212,0,350,7,0.980392,1,0.377224,1,0.622776,0.547804,0.987698,1.012456,0.000001
8,212,0,349,8,0.977591,1,0.377897,1,0.622103,0.548512,0.98594,1.01426,0.000001
9,212,0,348,9,0.97479,1,0.378571,1,0.621429,0.549223,0.984183,1.016071,0.000001
10,212,0,347,10,0.971989,1,0.379249,1,0.620751,0.549935,0.982425,1.017889,0.000001
11,212,0,346,11,0.969188,1,0.379928,1,0.620072,0.550649,0.980668,1.019713,0.000001
12,212,0,345,12,0.966387,1,0.38061,1,0.61939,0.551365,0.97891,1.021544,0.000001
13,212,0,344,13,0.963585,1,0.381295,1,0.618705,0.552083,0.977153,1.023381,0.000001
14,212,0,343,14,0.960784,1,0.381982,1,0.618018,0.552803,0.975395,1.025225,0.000002
15,212,0,342,15,0.957983,1,0.382671,1,0.617329,0.553525,0.973638,1.027076,0.000002
16,212,0,341,16,0.955182,1,0.383363,1,0.616637,0.554248,0.97188,1.028933,0.000003
17,212,0,340,17,0.952381,1,0.384058,1,0.615942,0.554974,0.970123,1.030797,0.000003
18,212,0,339,18,0.94958,1,0.384755,1,0.615245,0.555701,0.968366,1.032668,0.000004
19,212,0,338,19,0.946779,1,0.385455,1,0.614545,0.55643,0.966608,1.034545,0.000005
20,212,0,337,20,0.943978,1,0.386157,1,0.613843,0.557162,0.964851,1.03643,0.000005
21,212,0,336,21,0.941176,1,0.386861,1,0.613139,0.557895,0.963093,1.038321,0.000005
22,212,0,335,22,0.938375,1,0.387569,1,0.612431,0.55863,0.961336,1.040219,0.000005
23,212,0,334,23,0.935574,1,0.388278,1,0.611722,0.559367,0.959578,1.042125,0.000005
24,212,0,333,24,0.932773,1,0.388991,1,0.611009,0.560106,0.957821,1.044037,0.000006
25,212,0,332,25,0.929972,1,0.389706,1,0.610294,0.560847,0.956063,1.045956,0.000006
26,212,0,331,26,0.927171,1,0.390424,1,0.609576,0.561589,0.954306,1.047882,0.000008
27,212,0,330,27,0.92437,1,0.391144,1,0.608856,0.562334,0.952548,1.049815,0.000008
28,212,0,329,28,0.921569,1,0.391867,1,0.608133,0.563081,0.950791,1.051756,0.000008
29,212,0,328,29,0.918768,1,0.392593,1,0.607407,0.56383,0.949033,1.053704,0.000011
30,212,0,327,30,0.915966,1,0.393321,1,0.606679,0.564581,0.947276,1.055659,0.000011
31,212,0,326,31,0.913165,1,0.394052,1,0.605948,0.565333,0.945518,1.057621,0.000012
32,212,0,325,32,0.910364,1,0.394786,1,0.605214,0.566088,0.943761,1.05959,0.000013
33,212,0,324,33,0.907563,1,0.395522,1,0.604478,0.566845,0.942004,1.061567,0.000014
34,212,0,323,34,0.904762,1,0.396262,1,0.603738,0.567604,0.940246,1.063551,0.000014
